app_name,entity_path,entity_name
judy__q203__shower,Character.Judy,Judy
judy_braindance_off,Character.Judy,Judy
judy_braindance_on,Character.Judy,Judy
judy_crying,Character.Judy,Judy
judy_default,Character.Judy,Judy
judy_default__no_makeup,Character.Judy,Judy
judy_diving_suit,Character.Judy,Judy
judy_diving_suit_mask,Character.Judy,Judy
judy_diving_suit_no_mask,Character.Judy,Judy
judy_glove,Character.Judy,Judy
judy_nude,Character.Judy,Judy
judy_panties,Character.Judy,Judy
panam__q203__after_shower,Character.Panam,Panam
panam__q203__shower,Character.Panam,Panam
panam__q203__shower_censored,Character.Panam,Panam
panam_default,Character.Panam,Panam
panam_default_scars,Character.Panam,Panam
panam_default_wounded,Character.Panam,Panam
panam_no_jacket,Character.Panam,Panam
panam_no_jacket_and_harness,Character.Panam,Panam
panam_nude,Character.Panam,Panam
panam_nude_censored,Character.Panam,Panam
panam_underwear,Character.Panam,Panam
rogue_rogue_date,Character.Rogue,Rogue
rogue_rogue_date_nojacket,Character.Rogue,Rogue
rogue_rogue_old,Character.Rogue,Rogue
rogue_rogue_old_solo,Character.Rogue,Rogue
rogue_rogue_old_solo_thrusters,Character.Rogue,Rogue
rogue_rogue_young,Character.Rogue,Rogue
rogue_rogue_young_2013,Character.Rogue,Rogue
rogue_rogue_young_cyberspace,Character.Rogue,Rogue
alt_cyberspace_visible,Character.Alt,Alt
alt_cyberspace_visible_shader,Character.Alt,Alt
alt_default,Character.Alt,Alt
alt_naked,Character.Alt,Alt
alt_naked_bottom,Character.Alt,Alt
alt_underwear,Character.Alt,Alt
alt_undress_01,Character.Alt,Alt
alt_undress_02,Character.Alt,Alt
jackie_welles__q000_lizzies_club_no_jacket,Character.Jackie,Jackie
jackie_welles__q000_lizzies_club_no_machete,Character.Jackie,Jackie
jackie_welles__q005_suit,Character.Jackie,Jackie
jackie_welles__q005_suit_bleeding,Character.Jackie,Jackie
jackie_welles__q005_suit_dirty,Character.Jackie,Jackie
jackie_welles__q005_suit_wounded,Character.Jackie,Jackie
jackie_welles_default,Character.Jackie,Jackie
jackie_welles_default_collar_down,Character.Jackie,Jackie
jackie_welles_default_no_machete,Character.Jackie,Jackie
jackie_welles_valentino,Character.Jackie,Jackie
jackie_welles_valentino_beaten_up,Character.Jackie,Jackie
